Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Preocupación por Emergencia en aeropuerto en Chepes,"Grave emergencia en aeropuerto ocurrió en las inmediaciones de Chepes, La Rioja. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Emergencia en aeropuerto,-31.312311,-66.571943,01/08/2005
Devastador Fuego en centro comercial afecta a Tigre,"Autoridades confirmaron un fuego en centro comercial en Tigre, Buenos Aires. El incidente bloqueando las principales vías de acceso. El municipio ha activado el protocolo de emergencias para esta situación.",Fuego en centro comercial,-34.406246,-58.582776,24/09/2023
"Equipos de emergencia atienden Descarrilamiento de vagones en Santa María, Catamarca","Autoridades confirmaron un descarrilamiento de vagones en Santa María, Catamarca. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Descarrilamiento de vagones,-26.672062,-66.098732,27/01/2017
Preocupación por Escape de gas domiciliario en San Lorenzo,"Autoridades confirmaron un escape de gas domiciliario en San Lorenzo, Santa Fe. El incidente generando serios daños ambientales en la región. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Escape de gas domiciliario,-32.735434,-60.725894,06/01/2001
"Autoridades responden a Explosión seguida de incendio en Córdoba, Córdoba","Autoridades confirmaron un explosión seguida de incendio en Córdoba, Córdoba. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Explosión seguida de incendio,-31.39782,-64.156268,16/03/2001
"Se reporta Apagón por tormenta en zona de Quitilipi, Chaco","Un grave apagón por tormenta se registró en Quitilipi, Chaco. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Apagón por tormenta,-26.883803,-60.25217,08/02/2015
Equipos de emergencia atienden Corte masivo de electricidad en Realicó,"Un grave corte masivo de electricidad se registró en Realicó, La Pampa. El incidente resultando en el cierre temporal de escuelas y comercios. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Corte masivo de electricidad,-34.997562,-64.21448,05/11/2021
"Equipos de emergencia atienden Derrumbe parcial en San Carlos de Bariloche, Río Negro","Un grave derrumbe parcial se registró en San Carlos de Bariloche, Río Negro. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Derrumbe parcial,-41.111216,-71.340682,14/07/2022
Serio incidente: Escape de gas en Chilecito,"Autoridades confirmaron un escape de gas en Chilecito, La Rioja. El incidente generando serios daños ambientales en la región. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Escape de gas,-29.164506,-67.515536,28/04/2017
Ushuaia sufre las consecuencias de Escape de gas domiciliario,"Autoridades confirmaron un escape de gas domiciliario en Ushuaia, Tierra del Fuego. El incidente dejando a la población incomunicada por varias horas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Escape de gas domiciliario,-54.800965,-68.345752,07/01/2010
Alerta por Fuego en local comercial en Río Tercero,"Un grave fuego en local comercial se registró en Río Tercero, Córdoba. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Fuego en local comercial,-32.222083,-64.120493,14/08/2012
"Descarrilamiento con derrame deja múltiples daños en La Quiaca, Jujuy","Autoridades confirmaron un descarrilamiento con derrame en La Quiaca, Jujuy. El incidente provocando cortes de energía y problemas en el suministro de agua. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Descarrilamiento con derrame,-22.072477,-65.586579,17/01/2009
Emergencia por Explosión seguida de incendio en Mar del Plata,"Un grave explosión seguida de incendio se registró en Mar del Plata, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Explosión seguida de incendio,-38.00411,-57.525857,21/03/2025
Equipos de emergencia atienden Explosión en zona residencial en Córdoba,"Grave explosión en zona residencial ocurrió en las inmediaciones de Córdoba, Córdoba. El incidente provocando la activación de protocolos de emergencia. Se han habilitado refugios temporales para las familias afectadas.",Explosión en zona residencial,-31.375982,-64.198729,24/01/2023
"Evacuaciones por Fuga en planta industrial en Villa Dolores, Córdoba","Autoridades confirmaron un fuga en planta industrial en Villa Dolores, Córdoba. El incidente causando pérdidas millonarias y afectando a cientos de personas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuga en planta industrial,-31.983861,-65.168313,20/12/2015
Preocupación por Interrupción del suministro eléctrico en La Banda,"Grave interrupción del suministro eléctrico ocurrió en las inmediaciones de La Banda, Santiago del Estero. El incidente dejando a varios sectores sin comunicación. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Interrupción del suministro eléctrico,-27.781286,-64.248,02/06/2008
Consecuencias graves tras Accidente de helicóptero en Paraná,"Autoridades confirmaron un accidente de helicóptero en Paraná, Entre Ríos. El incidente provocando cortes de energía y problemas en el suministro de agua. La población ha sido alertada para tomar precauciones adicionales.",Accidente de helicóptero,-31.701099,-60.533252,25/07/2022
Evacuaciones por Incendio en fábrica en Chepes,"Autoridades confirmaron un incendio en fábrica en Chepes, La Rioja. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Incendio en fábrica,-31.369325,-66.632058,17/02/2018
Incidente aéreo provoca emergencia en Humahuaca,"Autoridades confirmaron un incidente aéreo en Humahuaca, Jujuy. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Incidente aéreo,-23.168722,-65.387164,13/08/2018
Estallido de gasoducto impacta en Rosario,"Grave estallido de gasoducto ocurrió en las inmediaciones de Rosario, Santa Fe. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Estallido de gasoducto,-32.901799,-60.620544,08/02/2010
Junín sufre las consecuencias de Colapso por fallas estructurales,"Autoridades confirmaron un colapso por fallas estructurales en Junín, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Colapso por fallas estructurales,-34.605914,-60.968321,19/10/2013
Tunuyán en alerta por Siniestro vial fatal,"Autoridades confirmaron un siniestro vial fatal en Tunuyán, Mendoza. El incidente dejando un rastro de destrucción importante. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Siniestro vial fatal,-33.571167,-68.981065,08/07/2011
"Se reporta Emergencia en zona industrial en zona de Barranqueras, Chaco","Un grave emergencia en zona industrial se registró en Barranqueras, Chaco. El incidente interrumpiendo servicios básicos en toda la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Emergencia en zona industrial,-27.447736,-58.937611,15/02/2009
Apagón por tormenta provoca emergencia en San Telmo,"Autoridades confirmaron un apagón por tormenta en San Telmo, CABA. El incidente bloqueando las principales vías de acceso. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Apagón por tormenta,-34.673729,-58.367954,16/05/2020
"Devastador Incendio en fábrica afecta a Bahía Blanca, Buenos Aires","Grave incendio en fábrica ocurrió en las inmediaciones de Bahía Blanca, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Incendio en fábrica,-38.703989,-62.241,01/08/2007
"Accidente en planta industrial afecta a Palpalá, Jujuy","Autoridades confirmaron un accidente en planta industrial en Palpalá, Jujuy. El incidente afectando gravemente la infraestructura local. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Accidente en planta industrial,-24.287786,-65.169165,06/04/2018
Rawson afectado por Siniestro vial fatal,"Autoridades confirmaron un siniestro vial fatal en Rawson, Chubut. El incidente generando caos en el transporte público y privado. Equipos de rescate continúan buscando posibles víctimas.",Siniestro vial fatal,-43.334704,-65.086468,04/06/2009
Pérdida de gas con evacuación causa estragos en Puerto Iguazú,"Grave pérdida de gas con evacuación ocurrió en las inmediaciones de Puerto Iguazú, Misiones. El incidente provocando la activación de protocolos de emergencia. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Pérdida de gas con evacuación,-25.607091,-54.554129,22/12/2018
"Serio incidente: Emergencia en aeropuerto en Villa Dolores, Córdoba","Un grave emergencia en aeropuerto se registró en Villa Dolores, Córdoba. El incidente provocando la activación de protocolos de emergencia. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Emergencia en aeropuerto,-31.912066,-65.153763,26/07/2020
"Incendio en edificio residencial causa estragos en Embarcación, Salta","Autoridades confirmaron un incendio en edificio residencial en Embarcación, Salta. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.",Incendio en edificio residencial,-23.218907,-64.127323,18/03/2020
"Gualeguay afectado por Corte masivo de electricidad, Entre Ríos","Grave corte masivo de electricidad ocurrió en las inmediaciones de Gualeguay, Entre Ríos. El incidente con un saldo inicial de varias personas heridas. El municipio ha activado el protocolo de emergencias para esta situación.",Corte masivo de electricidad,-33.152686,-59.285008,08/04/2011
"Preocupación por Estallido con víctimas en Tres Arroyos, Buenos Aires","Un grave estallido con víctimas se registró en Tres Arroyos, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha establecido un centro de operaciones para coordinar las ayudas.",Estallido con víctimas,-38.423546,-60.238515,29/08/2019
Descarrilamiento de vagones causa estragos en San Ramón de la Nueva Orán,"Un grave descarrilamiento de vagones se registró en San Ramón de la Nueva Orán, Salta. El incidente bloqueando las principales vías de acceso. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Descarrilamiento de vagones,-23.121678,-64.314957,17/01/2007
Accidente en refinería deja múltiples daños en Cruz del Eje,"Autoridades confirmaron un accidente en refinería en Cruz del Eje, Córdoba. El incidente provocando pánico entre los residentes locales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente en refinería,-30.756567,-64.769123,15/09/2017
"Corte prolongado de energía afecta a General Roca, Río Negro","Autoridades confirmaron un corte prolongado de energía en General Roca, Río Negro. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.",Corte prolongado de energía,-39.046074,-67.621006,28/11/2013
"Preocupación por Emergencia en zona industrial en El Calafate, Santa Cruz","Un grave emergencia en zona industrial se registró en El Calafate, Santa Cruz. El incidente provocando cortes de energía y problemas en el suministro de agua. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Emergencia en zona industrial,-50.361542,-72.282927,20/01/2012
"Incendio en depósito afecta a Río Gallegos, Santa Cruz","Grave incendio en depósito ocurrió en las inmediaciones de Río Gallegos, Santa Cruz. El incidente bloqueando las principales vías de acceso. Se han habilitado refugios temporales para las familias afectadas.",Incendio en depósito,-51.62202,-69.170371,16/05/2024
Añatuya sufre las consecuencias de Explosión seguida de incendio,"Autoridades confirmaron un explosión seguida de incendio en Añatuya, Santiago del Estero. El incidente afectando gravemente la infraestructura local. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Explosión seguida de incendio,-28.428983,-62.869712,24/12/2021
Autoridades responden a Fuga masiva de gas natural en General Güemes,"Autoridades confirmaron un fuga masiva de gas natural en General Güemes, Salta. El incidente afectando gravemente la infraestructura local. Equipos de rescate continúan buscando posibles víctimas.",Fuga masiva de gas natural,-24.641766,-65.001416,12/10/2013
"Emergencia por Caída de aeronave en Lobos, Buenos Aires","Un grave caída de aeronave se registró en Lobos, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Caída de aeronave,-35.192202,-59.089923,09/11/2024
"Devastador Accidente vehicular afecta a Goya, Corrientes","Grave accidente vehicular ocurrió en las inmediaciones de Goya, Corrientes. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Accidente vehicular,-29.17362,-59.278604,13/01/2013
Habitantes de Pirané afrontan Fuga en gasoducto,"Grave fuga en gasoducto ocurrió en las inmediaciones de Pirané, Formosa. El incidente dejando un rastro de destrucción importante. Bomberos y personal de seguridad trabajan intensamente en la zona.",Fuga en gasoducto,-25.76054,-59.140417,05/08/2002
Explosión seguida de incendio provoca emergencia en Eduardo Castex,"Grave explosión seguida de incendio ocurrió en las inmediaciones de Eduardo Castex, La Pampa. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Explosión seguida de incendio,-35.906342,-64.299925,24/12/2005
Situación crítica por Accidente con maquinaria industrial en Ushuaia,"Grave accidente con maquinaria industrial ocurrió en las inmediaciones de Ushuaia, Tierra del Fuego. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Accidente con maquinaria industrial,-54.849452,-68.315274,03/06/2010
Habitantes de Presidencia Roque Sáenz Peña afrontan Incidente en fábrica,"Un grave incidente en fábrica se registró en Presidencia Roque Sáenz Peña, Chaco. El incidente provocando la activación de protocolos de emergencia. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incidente en fábrica,-26.805903,-60.465076,29/09/2014
"Evacuaciones por Aterrizaje de emergencia en Villa Carlos Paz, Córdoba","Un grave aterrizaje de emergencia se registró en Villa Carlos Paz, Córdoba. El incidente bloqueando las principales vías de acceso. Se ha establecido un centro de operaciones para coordinar las ayudas.",Aterrizaje de emergencia,-31.440506,-64.481238,10/02/2010
"Apagón general deja múltiples daños en Sarmiento, Chubut","Un grave apagón general se registró en Sarmiento, Chubut. El incidente dejando a la población incomunicada por varias horas. El municipio ha activado el protocolo de emergencias para esta situación.",Apagón general,-45.561786,-69.087322,17/05/2011
"Consecuencias graves tras Caída de construcción en Chimbas, San Juan","Autoridades confirmaron un caída de construcción en Chimbas, San Juan. El incidente con un saldo inicial de varias personas heridas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Caída de construcción,-31.445109,-68.501976,12/03/2015
Emergencia por Descarrilamiento de vagones en Formosa,"Autoridades confirmaron un descarrilamiento de vagones en Formosa, Formosa. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Descarrilamiento de vagones,-26.154503,-58.183036,18/11/2004
Escape de gas domiciliario genera crisis en Santa Fe,"Autoridades confirmaron un escape de gas domiciliario en Santa Fe, Santa Fe. El incidente afectando gravemente la infraestructura local. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Escape de gas domiciliario,-31.635104,-60.700086,27/08/2020
Fallo en vuelo genera crisis en Eduardo Castex,"Un grave fallo en vuelo se registró en Eduardo Castex, La Pampa. El incidente afectando gravemente la infraestructura local. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Fallo en vuelo,-35.945509,-64.320115,08/12/2015
"Confirman Fallo en vuelo de gran magnitud en Toay, La Pampa","Un grave fallo en vuelo se registró en Toay, La Pampa. El incidente afectando gravemente la infraestructura local. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fallo en vuelo,-36.656856,-64.379452,21/05/2009
"Autoridades responden a Deflagración en planta industrial en Merlo, San Luis","Un grave deflagración en planta industrial se registró en Merlo, San Luis. El incidente resultando en el cierre temporal de escuelas y comercios. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Deflagración en planta industrial,-32.345818,-64.969361,12/09/2014
Equipos de emergencia atienden Gas con riesgo de explosión en Frías,"Autoridades confirmaron un gas con riesgo de explosión en Frías, Santiago del Estero. El incidente dejando a la población incomunicada por varias horas. Se han habilitado refugios temporales para las familias afectadas.",Gas con riesgo de explosión,-28.681136,-65.085293,21/08/2012
"Habitantes de Aguilares afrontan Accidente en paso a nivel, Tucumán","Autoridades confirmaron un accidente en paso a nivel en Aguilares, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente en paso a nivel,-27.46758,-65.582037,27/04/2023
Impacto de Accidente en paso a nivel en comunidad de Las Breñas,"Grave accidente en paso a nivel ocurrió en las inmediaciones de Las Breñas, Chaco. El incidente dejando a varios sectores sin comunicación. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente en paso a nivel,-27.071937,-61.032899,10/01/2021
Devastador Fuga masiva de gas natural afecta a Las Breñas,"Grave fuga masiva de gas natural ocurrió en las inmediaciones de Las Breñas, Chaco. El incidente generando caos en el transporte público y privado. La población ha sido alertada para tomar precauciones adicionales.",Fuga masiva de gas natural,-27.121554,-61.037284,26/07/2004
Luján de Cuyo afectado por Colapso de estructura,"Grave colapso de estructura ocurrió en las inmediaciones de Luján de Cuyo, Mendoza. El incidente causando daños en cultivos y producción agrícola. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Colapso de estructura,-33.042871,-68.868725,30/08/2022
"Se reporta Emergencia en aeropuerto en zona de Villa Dolores, Córdoba","Grave emergencia en aeropuerto ocurrió en las inmediaciones de Villa Dolores, Córdoba. El incidente causando daños en cultivos y producción agrícola. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Emergencia en aeropuerto,-31.910974,-65.234377,27/03/2007
"Accidente ferroviario con pasajeros genera crisis en Frías, Santiago del Estero","Autoridades confirmaron un accidente ferroviario con pasajeros en Frías, Santiago del Estero. El incidente afectando gravemente la infraestructura local. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Accidente ferroviario con pasajeros,-28.661869,-65.102133,23/04/2014
Apagón general afecta a Tartagal,"Grave apagón general ocurrió en las inmediaciones de Tartagal, Salta. El incidente generando preocupación entre autoridades provinciales. El municipio ha activado el protocolo de emergencias para esta situación.",Apagón general,-22.47819,-63.767811,17/03/2023
Siniestro vial fatal genera crisis en General Pico,"Autoridades confirmaron un siniestro vial fatal en General Pico, La Pampa. El incidente generando serios daños ambientales en la región. Se ha establecido un centro de operaciones para coordinar las ayudas.",Siniestro vial fatal,-35.655655,-63.724015,15/06/2012
"Equipos de emergencia atienden Corte masivo de electricidad en Posadas, Misiones","Grave corte masivo de electricidad ocurrió en las inmediaciones de Posadas, Misiones. El incidente interrumpiendo servicios básicos en toda la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Corte masivo de electricidad,-27.316043,-55.915932,06/09/2017
Evacuaciones por Choque en cadena en Chamical,"Un grave choque en cadena se registró en Chamical, La Rioja. El incidente generando preocupación entre autoridades provinciales. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Choque en cadena,-30.398192,-66.334181,01/06/2012
"Accidente en planta industrial genera crisis en Gálvez, Santa Fe","Autoridades confirmaron un accidente en planta industrial en Gálvez, Santa Fe. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Accidente en planta industrial,-31.996126,-61.238441,18/07/2002
"Situación crítica por Emergencia en aeropuerto en Esperanza, Santa Fe","Autoridades confirmaron un emergencia en aeropuerto en Esperanza, Santa Fe. El incidente obligando a evacuar a residentes de la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Emergencia en aeropuerto,-31.458124,-60.935373,06/10/2003
"Serio incidente: Fuego en local comercial en Perico, Jujuy","Autoridades confirmaron un fuego en local comercial en Perico, Jujuy. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuego en local comercial,-24.402291,-65.15398,14/05/2017
"Evacuaciones por Caída de aeronave en Jardín América, Misiones","Grave caída de aeronave ocurrió en las inmediaciones de Jardín América, Misiones. El incidente dejando un rastro de destrucción importante. Se ha establecido un centro de operaciones para coordinar las ayudas.",Caída de aeronave,-27.061137,-55.24091,27/08/2024
"Impacto de Emanación de gas tóxico en comunidad de Palpalá, Jujuy","Autoridades confirmaron un emanación de gas tóxico en Palpalá, Jujuy. El incidente obligando a evacuar a residentes de la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Emanación de gas tóxico,-24.234474,-65.190058,01/04/2019
"Alerta por Incendio en viviendas en Gálvez, Santa Fe","Grave incendio en viviendas ocurrió en las inmediaciones de Gálvez, Santa Fe. El incidente dejando a la población incomunicada por varias horas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Incendio en viviendas,-32.031564,-61.250574,09/06/2012
Declaran emergencia tras Explosión de tanque de gas en Tolhuin,"Un grave explosión de tanque de gas se registró en Tolhuin, Tierra del Fuego. El incidente bloqueando las principales vías de acceso. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Explosión de tanque de gas,-54.534939,-67.206857,23/11/2019
Se reporta Colapso de estructura en zona de Olavarría,"Un grave colapso de estructura se registró en Olavarría, Buenos Aires. El incidente provocando pánico entre los residentes locales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Colapso de estructura,-36.869856,-60.283851,18/12/2011
"Pehuajó sufre las consecuencias de Caída de construcción, Buenos Aires","Autoridades confirmaron un caída de construcción en Pehuajó, Buenos Aires. El incidente afectando gravemente la infraestructura local. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Caída de construcción,-35.79917,-61.884013,09/07/2014
Emergencia por Deflagración en planta industrial en Olavarría,"Autoridades confirmaron un deflagración en planta industrial en Olavarría, Buenos Aires. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Deflagración en planta industrial,-36.921526,-60.313956,11/01/2002
"Aterrizaje de emergencia impacta en General Güemes, Salta","Autoridades confirmaron un aterrizaje de emergencia en General Güemes, Salta. El incidente dejando a la población incomunicada por varias horas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Aterrizaje de emergencia,-24.634018,-65.025571,05/07/2004
Villa Regina afectado por Incendio en edificio residencial,"Autoridades confirmaron un incendio en edificio residencial en Villa Regina, Río Negro. El incidente destruyendo viviendas y dejando a familias evacuadas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Incendio en edificio residencial,-39.100582,-67.047978,28/09/2019
Fuego en local comercial impacta en Toay,"Grave fuego en local comercial ocurrió en las inmediaciones de Toay, La Pampa. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuego en local comercial,-36.702294,-64.392845,27/12/2020
"Serio incidente: Detonación en fábrica en Rawson, Chubut","Un grave detonación en fábrica se registró en Rawson, Chubut. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Detonación en fábrica,-43.290516,-65.137497,21/10/2007
"Se reporta Derrumbe en obra en construcción en zona de Tinogasta, Catamarca","Un grave derrumbe en obra en construcción se registró en Tinogasta, Catamarca. El incidente dejando a varios sectores sin comunicación. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Derrumbe en obra en construcción,-28.016583,-67.519391,08/12/2011
"Derrumbe en obra en construcción provoca emergencia en La Quiaca, Jujuy","Un grave derrumbe en obra en construcción se registró en La Quiaca, Jujuy. El incidente obligando a evacuar a residentes de la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Derrumbe en obra en construcción,-22.117111,-65.616781,07/04/2008
"Situación crítica por Fuga masiva de gas natural en Oberá, Misiones","Grave fuga masiva de gas natural ocurrió en las inmediaciones de Oberá, Misiones. El incidente causando daños en cultivos y producción agrícola. El municipio ha activado el protocolo de emergencias para esta situación.",Fuga masiva de gas natural,-27.44655,-55.100999,30/10/2020
"Escape de gas domiciliario provoca emergencia en Quilmes, Buenos Aires","Autoridades confirmaron un escape de gas domiciliario en Quilmes, Buenos Aires. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Escape de gas domiciliario,-34.729004,-58.293285,21/03/2006
"Situación crítica por Escape de gas domiciliario en Puerto San Julián, Santa Cruz","Autoridades confirmaron un escape de gas domiciliario en Puerto San Julián, Santa Cruz. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Escape de gas domiciliario,-49.335304,-67.70163,21/09/2009
Chajarí sufre las consecuencias de Accidente vehicular,"Grave accidente vehicular ocurrió en las inmediaciones de Chajarí, Entre Ríos. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente vehicular,-30.713861,-58.0641,22/03/2018
"Tandil sufre las consecuencias de Incidente aéreo, Buenos Aires","Autoridades confirmaron un incidente aéreo en Tandil, Buenos Aires. El incidente bloqueando las principales vías de acceso. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Incidente aéreo,-37.369088,-59.166346,06/12/2007
Consecuencias graves tras Descarrilamiento de tren en Santo Tomé,"Un grave descarrilamiento de tren se registró en Santo Tomé, Corrientes. El incidente con un saldo inicial de varias personas heridas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Descarrilamiento de tren,-28.598448,-55.992576,14/04/2020
"Equipos de emergencia atienden Fallo en planta procesadora en Chos Malal, Neuquén","Un grave fallo en planta procesadora se registró en Chos Malal, Neuquén. El incidente afectando el normal desarrollo de actividades en la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fallo en planta procesadora,-37.390071,-70.305124,03/11/2003
"Lomas de Zamora sufre las consecuencias de Accidente en refinería, Buenos Aires","Un grave accidente en refinería se registró en Lomas de Zamora, Buenos Aires. El incidente bloqueando las principales vías de acceso. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente en refinería,-34.788965,-58.361524,31/07/2000
"Alerta por Accidente en refinería en Río Tercero, Córdoba","Grave accidente en refinería ocurrió en las inmediaciones de Río Tercero, Córdoba. El incidente provocando cortes de energía y problemas en el suministro de agua. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente en refinería,-32.216258,-64.13635,17/01/2018
"Derrumbe parcial deja múltiples daños en Paso de los Libres, Corrientes","Grave derrumbe parcial ocurrió en las inmediaciones de Paso de los Libres, Corrientes. El incidente causando pérdidas millonarias y afectando a cientos de personas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Derrumbe parcial,-29.698667,-57.068751,13/07/2010
"Autoridades responden a Colisión de tren de carga en La Paz, Entre Ríos","Un grave colisión de tren de carga se registró en La Paz, Entre Ríos. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colisión de tren de carga,-30.719627,-59.644225,06/06/2005
Descarrilamiento de vagones afecta a El Bolsón,"Grave descarrilamiento de vagones ocurrió en las inmediaciones de El Bolsón, Río Negro. El incidente interrumpiendo servicios básicos en toda la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Descarrilamiento de vagones,-41.919088,-71.543416,09/03/2025
Devastador Accidente con transporte público afecta a Chamical,"Grave accidente con transporte público ocurrió en las inmediaciones de Chamical, La Rioja. El incidente destruyendo viviendas y dejando a familias evacuadas. Se han habilitado refugios temporales para las familias afectadas.",Accidente con transporte público,-30.33159,-66.285323,16/09/2009
Quilmes afectado por Explosión de origen desconocido,"Un grave explosión de origen desconocido se registró en Quilmes, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Explosión de origen desconocido,-34.759434,-58.231613,11/12/2007
Devastador Accidente en paso a nivel afecta a Guaymallén,"Grave accidente en paso a nivel ocurrió en las inmediaciones de Guaymallén, Mendoza. El incidente generando caos en el transporte público y privado. Equipos de rescate continúan buscando posibles víctimas.",Accidente en paso a nivel,-32.846801,-68.744359,15/12/2000
Accidente vehicular impacta en San Nicolás,"Grave accidente vehicular ocurrió en las inmediaciones de San Nicolás, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente vehicular,-33.313195,-60.217691,04/04/2003
Habitantes de Tinogasta afrontan Descarrilamiento de tren,"Grave descarrilamiento de tren ocurrió en las inmediaciones de Tinogasta, Catamarca. El incidente destruyendo viviendas y dejando a familias evacuadas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Descarrilamiento de tren,-28.078981,-67.517846,14/05/2020
